,name,rating,reviews,type,hq,old,employees
17,Systems Plus,4.5,(199 Reviews),Private,"Dallas,Texas + 5 more",35 years old,201-500 Employees (India)
18,Hitachi Vantara,3.9,(199 Reviews),Private,Santa Clara + 8 more,4 years old,1k-5k Employees (India)
19,Apollo Clinic,3.7,(199 Reviews),Public,Hyderabad + 31 more,20 years old,201-500 Employees (India)
20,Tradebulls,3.0,(199 Reviews),Private,"Mumbai,Maharashtra + 15 more",13 years old,11-50 Employees (India)
21,LuLu Group Inter...,3.9,(365 Reviews),Private,"Abu Dhabi,Abu Dhabi + 24 more",56 years old,1k-5k Employees (India)
22,Health Care Glob...,3.9,(198 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",33 years old,1k-5k Employees (India)
23,Buzzworks Busine...,4.0,(198 Reviews),Private,"Chennai,Tamil Nadu + 35 more",23 years old,501-1k Employees (India)
24,Rail Vikas Nigam,4.1,(198 Reviews),Private,"Delhi/NCR,Delhi + 52 more",19 years old,501-1k Employees (India)
25,Bank of Maharash...,3.6,(198 Reviews),Private,Pune + 47 more,87 years old,10k-50k Employees (India)
26,IDS Infotech,3.2,(198 Reviews),Public,Mohali + 8 more,33 years old,1k-5k Employees (India)
27,Halliburton,3.7,(198 Reviews),Private,"Houston,Texas + 19 more",103 years old,1k-5k Employees (India)
28,Orcapod Consulti...,3.3,(198 Reviews),Private,"Mumbai,Maharashtra + 13 more",12 years old,501-1k Employees (India)
29,ISS SDB Security...,4.3,(198 Reviews),Private,Mumbai + 39 more,12 years old,1k-5k Employees (India)
0,Mann And Hummel ...,3.9,(198 Reviews),Private,"Schwieberdinger,Ludwigsburg + 7 more",80 years old,501-1k Employees (India)
1,Talwalkars Bette...,3.8,(198 Reviews),Public,"Mumbai,Maharashtra + 53 more",90 years old,201-500 Employees (India)
2,Classcanyon,4.6,(198 Reviews),Private,"Greater Noida,Uttar Pradesh + 3 more",1 years old,51-200 Employees (India)
3,Mitsui O.S.K. Li...,4.1,(351 Reviews),Private,"Toranomon,Tokyo + 8 more",138 years old,51-200 Employees (India)
4,Focus Energy,3.5,(197 Reviews),Private,"Gurgaon/Gurugram,Haryana + 8 more",36 years old,501-1k Employees (India)
5,Subway,4.5,(197 Reviews),Private,"Milford,Connecticut + 46 more",57 years old,1k-5k Employees (India)
6,Corona Remedies,4.0,(197 Reviews),Private,Ahmedabad + 35 more,18 years old,501-1k Employees (India)
7,Eastman Chemical...,4.5,(197 Reviews),"Mumbai,Maharashtra + 3 more",72 years old,501-1k Employees (India),
8,GMR Energy,4.5,(197 Reviews),Public,"Delhi,NCT + 22 more",26 years old,1k-5k Employees (India)
9,Secure Value,3.5,(197 Reviews),Private,"Mumbai,Maharashtra + 57 more",20 years old,10k-50k Employees (India)
10,Vulcan Express,4.1,(197 Reviews),Private,Gurgaon + 38 more,9 years old,1-10 Employees (India)
11,Smaaash Entertai...,3.9,(197 Reviews),Private,"Mumbai,Maharashtra + 19 more",13 years old,501-1k Employees (India)
12,Cheil India,3.4,(197 Reviews),Private,Gurugram + 14 more,19 years old,201-500 Employees (India)
13,CPM India Sales ...,4.2,(197 Reviews),Private,New Delhi + 32 more,14 years old,501-1k Employees (India)
14,Kaizen IT Servic...,3.4,(197 Reviews),Private,"Kolkata,West Bengal + 42 more",23 years old,1k-5k Employees (India)
15,Bird Worldwide F...,3.7,(197 Reviews),Private,New Delhi + 7 more,23 years old,1k-5k Employees (India)
16,CPA Global,3.9,(197 Reviews),Private,"St Helier,New Jersey + 3 more",53 years old,1k-5k Employees (India)
17,LendingKart,3.5,(197 Reviews),Public,"Ahmedabad,Gujarat + 20 more",8 years old,201-500 Employees (India)
18,Pegasystems,3.8,(197 Reviews),Private,"Cambridge,Massachusetts + 3 more",39 years old,1k-5k Employees (India)
19,L&T–MHI Power Bo...,4.1,(197 Reviews),Private,"Faridabad,Haryana + 13 more",16 years old,201-500 Employees (India)
20,NBC Bearings,3.9,(197 Reviews),Public,"Jaipur,Rajasthan + 10 more",76 years old,1-10 Employees (India)
21,myGate,3.4,(197 Reviews),Private,"Bangalore,Karnataka + 16 more",6 years old,1k-5k Employees (India)
22,CK Birla Group,3.9,(4.4k Reviews),Private,"Delhi/NCR,New Delhi + 33 more",160 years old,10k-50k Employees (India)
23,Globus Stores,3.9,(196 Reviews),Private,"Mumbai,Maharashtra + 30 more",24 years old,501-1k Employees (India)
24,Aparna Enterpris...,4.2,(196 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 18 more",32 years old,501-1k Employees (India)
25,Su-Kam Power Sys...,4.3,(196 Reviews),Private,"Gurgaon/Gurugram,Haryana + 41 more",34 years old,501-1k Employees (India)
26,Rheinmetall Auto...,4.1,(196 Reviews),Private,Neckarlsum + 13 more,113 years old,51-200 Employees (India)
27,Kiswok Industrie...,3.3,(196 Reviews),Private,"Kolkata,West Bengal + 2 more",65 years old,51-200 Employees (India)
28,5paisa Capital,3.8,(196 Reviews),Public,"Thane,Maharashtra + 6 more",7 years old,501-1k Employees (India)
29,Gyan Dairy,4.0,(196 Reviews),Private,"Lucknow,Uttar Pradesh + 13 more",15 years old,201-500 Employees (India)
0,Orchid Chemicals...,4.0,(316 Reviews),Private,"Chennai,Tamil Nadu + 22 more",30 years old,1k-5k Employees (India)
1,ESAB,4.3,(195 Reviews),Public,"Chennai,Tamil Nadu + 17 more",35 years old,501-1k Employees (India)
2,Jay Chemical Ind...,3.9,(195 Reviews),Private,"Ahmedabad,Gujarat + 14 more",55 years old,1k-5k Employees (India)
3,Home First Finan...,3.9,(195 Reviews),Private,"Mumbai,Maharashtra + 43 more",12 years old,1k-5k Employees (India)
4,Yalamanchili Sof...,3.3,(195 Reviews),Public,Chennai + 10 more,21 years old,51-200 Employees (India)
5,NAFFCO,3.9,(195 Reviews),Private,"Dubai,Dubai + 15 more",31 years old,201-500 Employees (India)
6,Ample Technologi...,3.7,(195 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 18 more",26 years old,501-1k Employees (India)
7,Sundaram Auto Co...,4.2,(195 Reviews),Public,"Bhiwadi,Rajasthan + 12 more",42 years old,501-1k Employees (India)
8,Carrier Midea,4.0,(195 Reviews),Private,"Gurgaon/Gurugram,Haryana + 35 more",10 years old,501-1k Employees (India)
9,Checkmate Servic...,4.1,(195 Reviews),Private,"Vadodara/Baroda,Gujrat + 47 more",30 years old,10k-50k Employees (India)
10,Vedanta Limited,4.0,(195 Reviews),Jharsuguda + 29 more,1k-5k Employees (India),,
11,CMR Engineering ...,4.7,(195 Reviews),Hyderabad + 3 more,12 years old,201-500 Employees (India),
12,Banco Products,3.7,(195 Reviews),Public,"Vadodara/Baroda,Gujrat + 13 more",61 years old,501-1k Employees (India)
13,Treebo Hotels,3.7,(197 Reviews),Private,"Bangalore,Karnataka + 23 more",7 years old,51-200 Employees (India)
14,Sri Sri Tattva,3.8,(194 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 30 more",19 years old,201-500 Employees (India)
15,K L University,3.7,(194 Reviews),Private,Vijayawada + 10 more,42 years old,201-500 Employees (India)
16,Shyam Sel & Powe...,4.1,(194 Reviews),Public,"Kolkata,West Bengal + 15 more",31 years old,5k-10k Employees (India)
17,Hindustan Syring...,4.1,(194 Reviews),Private,"Faridabad,Haryana + 10 more",65 years old,51-200 Employees (India)
18,Metro Hospital &...,3.5,(194 Reviews),Noida + 14 more,25 years old,1k-5k Employees (Global),
19,Monnet Group,4.2,(194 Reviews),Public,"Raipur,Chhattisgarh + 13 more",32 years old,501-1k Employees (India)
20,Apex Group,3.5,(194 Reviews),Hamilton + 8 more,501-1k Employees (India),,
21,Nava Bharat Vent...,4.0,(194 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 22 more",50 years old,51-200 Employees (India)
22,Fossil Group,3.8,(194 Reviews),Private,"Richardson,Texas + 23 more",38 years old,501-1k Employees (India)
23,McNROE,3.9,(194 Reviews),Private,Kolkata + 40 more,36 years old,501-1k Employees (India)
24,Ozone Overseas,3.6,(194 Reviews),Private,"Delhi/NCR,Delhi + 22 more",22 years old,51-200 Employees (India)
25,TATA Advanced Ma...,3.8,(194 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 1 more",32 years old,501-1k Employees (India)
26,Madhu Jayanti In...,4.0,(194 Reviews),Public,"Kolkata,West Bengal + 28 more",80 years old,201-500 Employees (India)
27,Al Ahleia Switch...,3.5,(194 Reviews),Private,Safat + 9 more,40 years old,1k-5k Employees (India)
28,AYN InfoTech,4.8,(194 Reviews),Public,"Bengaluru/Bangalore,Karnataka + 12 more",13 years old,51-200 Employees (India)
29,Alembic,4.1,(2.2k Reviews),Vadodara + 26 more,,,
0,A2Z Group,4.0,(334 Reviews),Private,Gurgaon + 34 more,20 years old,51-200 Employees (India)
1,Flyhomes,4.6,(217 Reviews),"Seattle,Washington + 7 more",7 years old,201-500 Employees (India),
2,S Chand Group,4.0,(193 Reviews),Public,New Delhi + 28 more,83 years old,1k-5k Employees (India)
3,Cashify,3.9,(193 Reviews),Private,"Gurgaon,Haryana + 21 more",9 years old,501-1k Employees (India)
4,Rama Medical Col...,3.9,(193 Reviews),Hapur + 11 more,11 years old,1k-5k Employees (India),
5,RA Chem Pharma,4.1,(193 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",26 years old,1k-5k Employees (India)
6,Dun & Bradstreet,3.9,(193 Reviews),Private,"Short Hills,New Jersey + 11 more",181 years old,501-1k Employees (India)
7,Watertec India,4.3,(193 Reviews),Private,"Coimbatore,Tamil Nadu + 46 more",25 years old,1k-5k Employees (India)
8,Huntsman Interna...,4.3,(193 Reviews),Private,Texas + 21 more,52 years old,501-1k Employees (India)
9,Weddingz.in,3.1,(193 Reviews),Private,"Mumbai,Maharashtra + 27 more",7 years old,501-1k Employees (India)
10,OnePlus,4.1,(193 Reviews),Public,"Shenzhen,Guangdong + 35 more",9 years old,1k-5k Employees (India)
11,Sub-K IMPACT Sol...,4.0,(193 Reviews),Private,Hyderabad + 61 more,12 years old,51-200 Employees (India)
12,Zetwerk Manufact...,4.2,(193 Reviews),Private,"Bangalore,Karnataka + 26 more",4 years old,501-1k Employees (India)
13,Suburban Diagnos...,4.0,(192 Reviews),Private,"Mumbai,Maharashtra + 10 more",28 years old,201-500 Employees (India)
14,EC-Council,4.6,(192 Reviews),Private,Petaling Jaya + 7 more,17 years old,501-1k Employees (India)
15,Bharat Rasayan,4.1,(192 Reviews),Public,"Delhi/NCR,New Delhi + 11 more",33 years old,501-1k Employees (India)
16,Rosenberger Elec...,4.1,(192 Reviews),Private,Tittmoning + 24 more,64 years old,501-1k Employees (India)
17,Akamai Technolog...,4.6,(192 Reviews),Private,"Cambridge,Massachusetts + 2 more",24 years old,1k-5k Employees (India)
18,Jockey,4.1,(192 Reviews),Private,Kenosha + 64 more,146 years old,10k-50k Employees (India)
19,Paper boat,4.1,(192 Reviews),"Bangalore,Karnataka + 37 more",9 years old,51-200 Employees (India),
20,Mahendra NextWea...,3.8,(192 Reviews),Salem + 10 more,13 years old,1k-5k Employees (India),
21,Godrej Interio,3.9,(192 Reviews),Private,Mumbai + 41 more,37 years old,1k-5k Employees (India)
22,Rashmi Group,3.5,(192 Reviews),Private,"Kolkata,West Bengal + 14 more",56 years old,10k-50k Employees (India)
23,Matrix Cellular ...,3.2,(192 Reviews),Private,Delhi + 18 more,27 years old,51-200 Employees (India)
24,Servion Global S...,3.9,(192 Reviews),Private,New Jersey + 11 more,27 years old,1k-5k Employees (India)
25,Cochin Shipyard,4.3,(192 Reviews),Private,"Ernakulam,Kerala + 7 more",50 years old,1k-5k Employees (India)
26,Dnata,4.2,(192 Reviews),Private,"Dubai,Dubai + 16 more",63 years old,501-1k Employees (India)
27,Onkar Infotech,4.4,(192 Reviews),Private,"Gurgaon/Gurugram,Haryana",22 years old,201-500 Employees (India)
28,AVAYA,4.2,(192 Reviews),Private,"Durham,North Carolina + 6 more",22 years old,1k-5k Employees (India)
29,Dalmia-OCL,3.7,(192 Reviews),New Delhi + 28 more,6 years old,501-1k Employees (Global),
0,Expleo Solutions,4.0,(192 Reviews),Chennai + 6 more,1k-5k Employees (India),,
1,Ichhapurti.com,2.4,(192 Reviews),Gurgaon/Gurugram + 23 more,,,
2,E2OPEN,3.9,(192 Reviews),Private,"AUstin,Texas + 3 more",22 years old,1k-5k Employees (India)
3,Arabian Industri...,4.3,(191 Reviews),Private,Muscat + 7 more,31 years old,51-200 Employees (India)
4,Khimji Ramdas,4.0,(191 Reviews),Private,Muscat + 21 more,152 years old,201-500 Employees (India)
5,Rajasthan Patrik...,3.2,(191 Reviews),Private,"Jaipur,Rajasthan + 35 more",66 years old,1k-5k Employees (India)
6,Global Edge Soft...,3.6,(191 Reviews),Private,"Bangalore,Karnataka + 7 more",17 years old,201-500 Employees (India)
7,Indian Institute...,4.3,(191 Reviews),Private,"Gandhinagar,Gujarat + 23 more",14 years old,501-1k Employees (India)
8,SKH Y-TEC,3.9,(191 Reviews),Private,Becharaji + 11 more,9 years old,1k-5k Employees (India)
9,Electronica Fina...,3.8,(191 Reviews),Public,"Pune,Maharashtra + 52 more",32 years old,501-1k Employees (India)
10,Sgs Tekniks Manu...,4.0,(191 Reviews),Private,Gurgaon + 7 more,32 years old,201-500 Employees (India)
11,Vem Technologies,3.8,(191 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",29 years old,1k-5k Employees (India)
12,L&T Water & Effl...,4.5,(191 Reviews),Chennai + 38 more,5k-10k Employees (India),,
13,Amentum,4.5,(191 Reviews),Bengaluru/Bangalore + 19 more,51-200 Employees (India),,
14,Meghmani Organic...,4.0,(291 Reviews),Public,"Ahmedabad,Gujarat + 11 more",36 years old,501-1k Employees (India)
15,Personiv,3.6,(190 Reviews),Private,"Austin,Texas + 3 more",37 years old,1k-5k Employees (India)
16,Aptus Value Hous...,4.3,(190 Reviews),Private,"Chennai,Tamil Nadu + 79 more",13 years old,1k-5k Employees (India)
17,Stovekraft,3.7,(190 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 24 more",28 years old,1k-5k Employees (India)
18,Simpa Energy,4.3,(190 Reviews),"Bangalore,Karnataka + 28 more",12 years old,51-200 Employees (India),
19,Prione Business ...,4.3,(190 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 23 more",8 years old,501-1k Employees (India)
20,Danone Nutricia,3.5,(190 Reviews),Private,Barcelona + 40 more,126 years old,51-200 Employees (India)
21,Magic Software,3.7,(190 Reviews),Private,"Laguna Hills,California + 2 more",39 years old,201-500 Employees (India)
22,e-Centric Soluti...,3.4,(190 Reviews),Private,Hyderabad + 29 more,20 years old,201-500 Employees (India)
23,CommScope,3.8,(190 Reviews),Private,North Carolina + 13 more,46 years old,1k-5k Employees (India)
24,Hinduja Tech,3.8,(190 Reviews),Chennai + 10 more,,,
25,DBOI Global Serv...,4.4,(190 Reviews),Private,"Mumbai,Maharashtra + 5 more",42 years old,51-200 Employees (India)
26,Can-Pack,4.2,(190 Reviews),Private,"Aurangabad,Maharashtra + 7 more",30 years old,501-1k Employees (India)
27,Arena Animation,3.8,(190 Reviews),Private,Mumbai + 48 more,26 years old,11-50 Employees (India)
28,Kellton Tech Sol...,3.5,(190 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 7 more",29 years old,1k-5k Employees (India)
29,Zovian Technolog...,4.9,(190 Reviews),Private,Bangalore + 2 more,6 years old,1-10 Employees (India)
0,Petrofac Enginee...,3.7,(190 Reviews),Private,London + 10 more,19 years old,1k-5k Employees (India)
1,Weblink In,4.1,(190 Reviews),Private,"New Delhi,Delhi + 4 more",25 years old,201-500 Employees (India)
2,Refinitiv,4.2,(190 Reviews),Private,"Mumbai,Maharashtra + 1 more",4 years old,51-200 Employees (India)
3,Sequential Techn...,3.9,(190 Reviews),Private,Windermere + 4 more,6 years old,501-1k Employees (India)
4,Veeda Clinical R...,4.3,(189 Reviews),Private,"Ahmedabad,Gujarat + 3 more",18 years old,501-1k Employees (India)
5,Tube Products of...,4.1,(189 Reviews),Private,"Chennai,Tamil Nadu + 8 more",67 years old,10k-50k Employees (India)
6,InfoStretch,3.6,(189 Reviews),Private,"Santa Clara,California + 4 more",18 years old,1k-5k Employees (India)
7,Spectrum Talent ...,4.0,(189 Reviews),Private,"Noida,Uttar Pradesh + 36 more",14 years old,5k-10k Employees (Global)
8,Ascent Business ...,3.7,(189 Reviews),Private,"Roseland,NJ + 7 more",21 years old,201-500 Employees (India)
9,Tiger Analytics,3.7,(189 Reviews),Private,Santa Clara + 5 more,11 years old,1k-5k Employees (India)
10,HUDL,3.7,(189 Reviews),Private,"Lincoln,Nebraska + 8 more",16 years old,501-1k Employees (India)
11,Rainbow Children...,4.5,(189 Reviews),Private,Hyderabad + 9 more,23 years old,1k-5k Employees (Global)
12,Coolberg Beverag...,3.6,(189 Reviews),Private,"Mumbai,Maharashtra + 26 more",6 years old,201-500 Employees (India)
13,Tata Power Solar...,4.3,(189 Reviews),Public,"Mumbai,Maharashtra + 29 more",33 years old,1k-5k Employees (India)
14,Marpu Foundation...,4.8,(189 Reviews),Hyderabad/Secunderabad + 5 more,,,
15,The Indian Hotel...,4.3,(1.9k Reviews),Private,"Mumbai,Maharashtra + 29 more",123 years old,1k-5k Employees (India)
16,Thales,4.1,(275 Reviews),Private,"Paris,√éle-de-France + 13 more",22 years old,1k-5k Employees (India)
17,Wallace Pharmace...,3.7,(188 Reviews),Private,"Panaji/Panjim,Goa + 30 more",54 years old,1k-5k Employees (India)
18,Faasos Food Serv...,3.6,(188 Reviews),Private,"Pune,Maharashtra + 15 more",12 years old,1k-5k Employees (India)
19,POSCO MAHARASHTR...,4.1,(188 Reviews),Private,Pohang-si + 8 more,10 years old,1k-5k Employees (India)
20,Kogta Financial,4.3,(188 Reviews),Public,"Jaipur,Rajasthan + 59 more",26 years old,1k-5k Employees (India)
21,Popular Vehicles...,4.1,(188 Reviews),Private,"Ernakulam,Kerala + 18 more",83 years old,1k-5k Employees (India)
22,Costa Cruise Lin...,4.5,(188 Reviews),Private,Genoa + 9 more,74 years old,51-200 Employees (India)
23,Oriflame,3.9,(188 Reviews),Private,"Stockholm,Schaffhausen + 21 more",55 years old,1k-5k Employees (India)
24,GE Aviation,4.2,(188 Reviews),Private,Cincinnati + 5 more,105 years old,1k-5k Employees (India)
25,PCS Technology,3.7,(188 Reviews),Public,"Pune,Maharashtra + 45 more",41 years old,1k-5k Employees (India)
26,TRL Krosaki Refr...,3.8,(188 Reviews),Public,"Jharsuguda,Odisha + 16 more",64 years old,1k-5k Employees (India)
27,Equiniti,3.5,(188 Reviews),Public,London + 1 more,17 years old,201-500 Employees (India)
28,Zen3 Info Soluti...,3.9,(188 Reviews),Private,"Redmond,Washington + 3 more",19 years old,1k-5k Employees (India)
29,Sundaram Busines...,3.5,(188 Reviews),Private,Chennai + 6 more,21 years old,501-1k Employees (India)
0,Delphi Automotiv...,4.2,(188 Reviews),Public,Dublin + 15 more,28 years old,51-200 Employees (India)
1,Vedant Fashions,3.7,(188 Reviews),Private,"Kolkata,West Bengal + 30 more",20 years old,1k-5k Employees (India)
2,Murugappa Group,4.1,(6.4k Reviews),Private,"Chennai,Tamil Nadu + 52 more",122 years old,50k-1 Lakh Employees (India)
3,Turtlemint,4.0,(187 Reviews),"Mumbai,Maharashtra + 41 more",7 years old,1k-5k Employees (India),
4,MagicPin,2.7,(187 Reviews),Private,"Gurgaon,Haryana + 13 more",7 years old,201-500 Employees (India)
5,Technico Industr...,3.8,(187 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",52 years old,501-1k Employees (India)
6,Casagrand,4.1,(187 Reviews),Private,"Chennai,Tamil Nadu + 7 more",18 years old,501-1k Employees (India)
7,Central Institut...,3.7,(187 Reviews),Public,"Chennai,Tamil Nadu + 33 more",54 years old,51-200 Employees (India)
8,Shah Technical C...,3.7,(187 Reviews),Private,"Mumbai,Maharashtra + 38 more",13 years old,51-200 Employees (India)
9,Efftronics Syste...,3.4,(187 Reviews),Private,"Vijayawada,Andhra Pradesh + 18 more",37 years old,501-1k Employees (India)
10,CESC,3.8,(187 Reviews),Public,"Kolkata,West Bengal + 12 more",123 years old,5k-10k Employees (India)
11,NGA HR,3.9,(187 Reviews),Private,"Hemel Hempstead,Hertfordshire + 14 more",53 years old,1k-5k Employees (India)
12,Bahwan CyberTek,3.5,(187 Reviews),Private,"Chennai,Tamil Nadu + 9 more",23 years old,1k-5k Employees (India)
13,Mobileum,4.0,(187 Reviews),Private,"Cupertino,California + 3 more",22 years old,501-1k Employees (India)
14,Allahabad Bank,4.0,(187 Reviews),Private,"Chennai,Tamil Nadu + 50 more",157 years old,10k-50k Employees (India)
15,Nous Infosystems,4.0,(187 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",26 years old,1k-5k Employees (India)
16,Brg Iron And Ste...,3.8,(187 Reviews),Private,"Kolkata,West Bengal + 7 more",20 years old,51-200 Employees (India)
17,T&M Services con...,3.8,(187 Reviews),Private,"Mumbai,Maharashtra + 39 more",26 years old,501-1k Employees (India)
18,Škoda Auto India,4.1,(187 Reviews),Private,"Aurangabad,Maharashtra + 31 more",21 years old,1k-5k Employees (India)
19,Mantra Technolog...,3.8,(205 Reviews),LLP,"Hyderabad/Secunderabad,Telangana + 3 more",18 years old,201-500 Employees (India)
20,Sears Holdings,3.7,(194 Reviews),Private,"Hoffman Estates,Illinois + 4 more",13 years old,501-1k Employees (India)
21,ShareChat,4.1,(194 Reviews),Private,"Bangalore,Karnataka + 20 more",7 years old,1k-5k Employees (India)
22,Hyundai Glovis,4.1,(186 Reviews),Public,"Gangnam-gu,Seoul + 8 more",21 years old,201-500 Employees (India)
23,Zamil Air Condit...,4.1,(186 Reviews),Private,Dammam + 18 more,48 years old,201-500 Employees (India)
24,Eurofins It Solu...,3.6,(186 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",10 years old,1k-5k Employees (India)
25,Modi Mundi Pharm...,3.9,(186 Reviews),Private,"Delhi/NCR,Delhi + 33 more",32 years old,201-500 Employees (India)
26,Zee Laboratories,3.1,(186 Reviews),Public,"Delhi/NCR,Delhi + 17 more",29 years old,201-500 Employees (India)
27,Radiant Cash Man...,3.6,(186 Reviews),Private,"Chennai,Tamil Nadu + 38 more",17 years old,5k-10k Employees (India)
28,Studds Accessori...,3.6,(186 Reviews),Private,"Faridabad,Haryana + 5 more",39 years old,1k-5k Employees (India)
29,Calsonic Kansei ...,4.2,(186 Reviews),Private,Noida + 6 more,47 years old,51-200 Employees (India)
0,Indorama,4.1,(186 Reviews),Private,Jakarta + 21 more,47 years old,51-200 Employees (India)
1,Indo German Tool...,3.8,(186 Reviews),Private,"Ahmedabad,Gujarat + 11 more",27 years old,51-200 Employees (India)
2,Offshoot Agency,3.5,(186 Reviews),Private,Noida + 10 more,20 years old,501-1k Employees (India)
3,Iol Chemicals & ...,3.9,(186 Reviews),Private,"Ludhiana,Punjab + 9 more",36 years old,1k-5k Employees (India)
4,MBD GROUP,3.9,(186 Reviews),Private,New Delhi + 29 more,66 years old,501-1k Employees (India)
5,Signode,4.0,(186 Reviews),Private,"Glenview,Illinois + 25 more",109 years old,501-1k Employees (India)
6,BRLPS,4.0,(186 Reviews),Patna + 39 more,15 years old,1k-5k Employees (India),
7,Mahindra Integra...,3.5,(186 Reviews),Private,"Mumbai,Maharashtra + 25 more",20 years old,1k-5k Employees (India)
8,Koch Business So...,3.8,(186 Reviews),Private,"Wichita,Kansas + 1 more",82 years old,1k-5k Employees (India)
9,Amara Raja Power...,4.0,(186 Reviews),"Tirupati,Andhra Pradesh + 26 more",37 years old,10k-50k Employees (India),
10,Allianz,4.3,(1.2k Reviews),Private,Munich + 11 more,132 years old,10k-50k Employees (India)
11,Air Liquide,4.0,(215 Reviews),Public,Paris + 19 more,120 years old,501-1k Employees (India)
12,eBIZ.com,4.1,(185 Reviews),Private,"Noida,Uttar Pradesh + 23 more",21 years old,51-200 Employees (India)
13,Sir Ganga Ram Ho...,4.4,(185 Reviews),Private,"Delhi/NCR,New Delhi + 12 more",68 years old,201-500 Employees (India)
14,VST Industries,4.3,(185 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 55 more",92 years old,501-1k Employees (India)
15,Mediterranean Sh...,3.9,(185 Reviews),Private,Geneva + 17 more,52 years old,5k-10k Employees (India)
16,CallHealth,3.7,(185 Reviews),Private,"Hyderabad,Telangana + 13 more",9 years old,51-200 Employees (India)
17,Responsive Indus...,4.7,(185 Reviews),Public,"Thane,Maharashtra + 8 more",30 years old,501-1k Employees (India)
18,Zebronics,3.4,(185 Reviews),Private,"Chennai,Tamil Nadu + 33 more",25 years old,1k-5k Employees (India)
19,Taraashna Financ...,4.0,(185 Reviews),Private,Gurgaon + 47 more,10 years old,51-200 Employees (India)
20,Fosroc Chemicals...,4.3,(185 Reviews),Private,Dubai + 29 more,50 years old,201-500 Employees (India)
21,Elico Healthcare...,3.2,(185 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",23 years old,501-1k Employees (India)
22,Navata Road Tran...,3.7,(185 Reviews),Partnership,"Vijayawada,Andhra Pradesh + 24 more",40 years old,1k-5k Employees (India)
23,Dinshaws,4.1,(185 Reviews),Private,"Nagpur,Maharashtra + 27 more",90 years old,501-1k Employees (India)
24,AirAsia,3.6,(185 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 19 more",9 years old,1k-5k Employees (India)
25,Associated Road ...,4.1,(185 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 44 more",50 years old,1k-5k Employees (India)
26,Delhi Duty Free ...,4.2,(185 Reviews),Partnership,"Delhi/NCR,New Delhi + 5 more",12 years old,501-1k Employees (India)
27,Oberoi Realty,3.7,(185 Reviews),Public,"Mumbai,Maharashtra + 5 more",42 years old,501-1k Employees (India)
28,Box8,3.3,(185 Reviews),Private,"Mumbai,Maharashtra + 11 more",11 years old,1k-5k Employees (India)
29,ZF India Technol...,3.8,(185 Reviews),Private,Friedrichshafen + 2 more,107 years old,10k-50k Employees (India)
0,Aster Dm Healthc...,4.0,(185 Reviews),Public,Dubai + 19 more,35 years old,501-1k Employees (India)
1,Aachi Foods,4.0,(185 Reviews),Private,"Chennai,Tamil Nadu + 22 more",27 years old,501-1k Employees (India)
2,My Home Construc...,4.3,(185 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 9 more",33 years old,501-1k Employees (India)
3,Arvind Fashions,3.8,(185 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 30 more",29 years old,1k-5k Employees (India)
4,Autometers Allia...,4.2,(184 Reviews),Private,"Noida,Uttar Pradesh + 9 more",63 years old,501-1k Employees (India)
5,Gartner India Re...,4.1,(184 Reviews),Private,"Stamford,Connecticut + 6 more",70 years old,1k-5k Employees (India)
6,Munjal Kiriu Ind...,4.1,(184 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",66 years old,201-500 Employees (India)
7,Solartis Technol...,3.7,(184 Reviews),LLC,"Manhattan Beach,California + 1 more",18 years old,51-200 Employees (India)
8,Nimbus Harbor Fa...,3.9,(184 Reviews),Private,"Gurgaon/Gurugram,Haryana + 9 more",18 years old,10k-50k Employees (India)
9,Arabian Construc...,4.0,(184 Reviews),Private,Beirut + 21 more,55 years old,10k-50k Employees (India)
10,Bombay Intellige...,3.8,(184 Reviews),Private,"Mumbai,Maharashtra + 39 more",46 years old,51-200 Employees (India)
11,Innominds Softwa...,3.3,(184 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",24 years old,1k-5k Employees (India)
12,Apparel Group,3.5,(184 Reviews),Private,"Dubai,Dubai + 17 more",23 years old,201-500 Employees (India)
13,Berkadia,4.2,(184 Reviews),Private,"New York,New York + 1 more",13 years old,1k-5k Employees (India)
