,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
6220,False,/kP2DsgcIwuubm3WBvmxJcWFKzL2.jpg,"[53, 18, 9648]",3594,en,The Number 23,"Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize.",23.062,/mlNU8a1SkTu6cKA4LAoZxfNPng0.jpg,2007-02-23,The Number 23,False,6.4,2780
6221,False,/uN6v3Hz4qI2CIqT1Ro4vPgAbub3.jpg,"[28, 35]",454992,en,The Spy Who Dumped Me,Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when Audrey’s ex-boyfriend shows up at their apartment with a team of deadly assassins on his trail.,22.819,/tpPERI5i6yjT73jYWyZ9iWltQ9L.jpg,2018-08-02,The Spy Who Dumped Me,False,6.4,1977
6222,False,/xXHtSqFx8mLjzNGX9oCKQEx2yTa.jpg,"[35, 10749]",3981,en,What Women Want,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",26.752,/n5NOxrcgeiCxvEn47FG9bvlHNsV.jpg,2000-12-15,What Women Want,False,6.4,3371
6223,False,/4elyZUdNoj9GefSYYRrXRyRpSHt.jpg,"[80, 18, 9648, 53]",255756,zh,白日焰火,Two former cops start investigating the series of murders that tanked their careers when the killings begin again.,10.55,/3vVcDI8r2KOcsBFwu6Kyx6ntmqp.jpg,2014-06-11,"Black Coal, Thin Ice",False,6.4,212
6224,False,/rnWSM7qWWdAc2LvNh3lrvsERz7c.jpg,"[28, 35, 80]",5174,en,Rush Hour 3,"After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?",58.954,/rZ7IxJlPhNNJ6Rn8z1rzsXuA70P.jpg,2007-08-08,Rush Hour 3,False,6.4,2622
6225,False,/xumO7kQrx0GgxeOpoDLM1YgyLQ6.jpg,"[18, 10749, 35]",583268,fr,Deux moi,"Rémy and Mélanie live next door to each other in Paris but have never met. The two thirty-year-old Parisians search for connections online, but never have much success. Falling deeper into loneliness and depression, both decide to start attending regular therapy. With the help of their therapists, they uncover the real roots of their issues, and find that the connection they were both searching for is much closer than they thought.",8.989,/fvLIx12fkIbroJ6mPIFdOryfFzG.jpg,2019-09-11,"Someone, Somewhere",False,6.4,476
6226,False,/w5U8GsNxnbn9tCXpfaTFjxR3az4.jpg,"[28, 12, 53]",10750,en,Toy Soldiers,"After federal agents arrest a drug czar and put him on trial, the cartel leader's vicious son storms a prep school and takes its students hostage. They rebel against the armed intruders and try to take back their academy by any means necessary.",13.612,/nL3ccvqU1Wq1j31feHWAydzpbr2.jpg,1991-04-24,Toy Soldiers,False,6.4,256
6227,False,/36R0XliSNppCkmfkRo3uW9tCTCi.jpg,[18],10741,en,Bobby,"In 1968 the lives of a retired doorman, hotel manager, lounge singer, busboy, beautician and others intersect in the wake of Robert F. Kennedy's assassination at the Ambassador Hotel in Los Angeles.",9.939,/gnSAo6Yx4dV05zWfy4gi9pOY99h.jpg,2006-09-05,Bobby,False,6.4,315
6228,False,/pfgIFToEcoXkOg83Cpx5lUct3qV.jpg,"[18, 36, 35]",567965,en,Misbehaviour,"A group of women involved in the Women's Liberation Movement hatched a plan to invade the stage and disrupt the live broadcast at the 1970 Miss World competition in London, resulting in overnight fame for the newly-formed organization. When the show resumed, the results caused an uproar and turned the Western ideal of beauty on its head.",17.264,/o1SoYYvxG4bWTXp4wNWt5sKQf1E.jpg,2020-03-12,Misbehaviour,False,6.4,216
6229,False,/7XM7kxa3U2g8TO3OGSiETCroNRD.jpg,"[35, 10749]",460668,en,I Feel Pretty,A head injury causes a woman to develop an extraordinary amount of confidence and believe she's drop dead gorgeous.,22.596,/rmP8b6vxbpK1sPinnUqXHKq0VkT.jpg,2018-04-19,I Feel Pretty,False,6.4,1875
